Word	Lemma	Category
&	et	coo
&amp;	et	coo
&gt;	suivre	v
&gt;	suivre	v
&lt;	précéder	v
&lt;	précéder	v
/	ou	coo
@	à	prep
@+	à plus	pres
~	environ	adv
++	à plus	pres
<	précéder	v
<<	précéder	v
>	suivre	v
>>	suivre	v
±	plus ou moins	adv
°	degré	nc
°C	degré	nc
°F	degré	nc
½	demi	nc
à-tout-va	à tout va	adv
à +	à plus	pres
à cause d'	à cause de	prep
à cause d'__prep	à cause de	prep
à cause de__prep	à cause de	prep
à côté d'	à côté de	prep
à côté d'__prep	à côté de	prep
à côté de__prep	à côté de	prep
à défaut d'	à défaut de	prep
à défaut d'__prep	à défaut de	prep
à défaut de__prep	à défaut de	prep
à force d'	à force de	prep
à force d'__prep	à force de	prep
à force de__prep	à force de	prep
à hauteur d'	à hauteur de	prep
à hauteur d'__prep	à hauteur de	prep
à hauteur de__prep	à hauteur de	prep
à l'aune d'	à l'aune de	prep
à l'aune d'__prep	à l'aune de	prep
à l'aune de__prep	à l'aune de	prep
à l'égard d'	à l'égard de	prep
à l'égard d'__prep	à l'égard de	prep
à l'égard de__prep	à l'égard de	prep
à l'encontre d'	à l'encontre de	prep
à l'encontre d'__prep	à l'encontre de	prep
à l'encontre de__prep	à l'encontre de	prep
à l'instar d'	à l'instar de	prep
à l'instar d'__prep	à l'instar de	prep
à l'instar de__prep	à l'instar de	prep
à l'insu d'	à l'insu de	prep
à l'insu d'__prep	à l'insu de	prep
à l'insu de__prep	à l'insu de	prep
à moins d'	à moins de	prep
à moins d'__prep	à moins de	prep
à moins de__prep	à moins de	prep
à partir d'	à partir de	prep
à partir d'__prep	à partir de	prep
à partir de__prep	à partir de	prep
à plouche	à plus	pres
à proportion d'	à proportion de	prep
à proportion d'__prep	à proportion de	prep
à proportion de__prep	à proportion de	prep
à propos d'	à propos de	prep
à propos d'__prep	à propos de	prep
à propos de__prep	à propos de	prep
à raison d'	à raison de	prep
à raison d'__prep	à raison de	prep
à raison de__prep	à raison de	prep
à tout-va	à tout va	adv
a+	à plus	pres
abats	abats	nc
abdos	abdominaux	nc
abois	abois	nc
accrû	accroître	v
accrûe	accroître	v
accrûes	accroître	v
accrûs	accroître	v
achards	achards	nc
active	actif	nc
actives	actif	nc
admirent	admettre	v
ados	ados	nc
affiliez	affiler	v
affilions	affiler	v
affine	affin	adj
affines	affin	adj
afin d'	afin de	prep
afin d'__prep	afin de	prep
afin de__prep	afin de	prep
aïeuls	aïeul	nc
aille	ailler	v
aillent	ailler	v
ailles	ailler	v
ainsi qu'	ainsi que	coo
alentours	alentour	nc
aléseuse	aléseur	nc
aléseuses	aléseur	nc
algo	algorithme	nc
algos	algorithme	nc
allegri	allegro	nc
allemande	allemand	nc
allemandes	allemand	nc
aller-retour	aller-retour	nc
alliez	allier	v
allions	allier	v
allume-cigares	allume-cigare	nc
allumeuse	allumeur	nc
allumeuses	allumeur	nc
alu	aluminium	nc
américaine	américain	nc
américaines	américain	nc
amie	ami	nc
amies	ami	nc
amortie	amorti	nc
amorties	amorti	nc
ancienne	ancien	nc
anciennes	ancien	nc
ânesse	âne	nc
ânesses	âne	nc
anglaise	anglais	nc
anglaises	anglais	nc
anis	ani	nc
anniv	anniversaire	nc
anniv'	anniversaire	nc
anticasseurs	anticasseurs	adj
apprêteuse	apprêteur	nc
apprêteuses	apprêteur	nc
apprêts	apprêts	nc
apr.	après	prep
aprèm	après-midi	nc
après-m	après-midi	nc
après-ski	après-ski	nc
arbalétrière	arbalétrier	nc
arbalétrières	arbalétrier	nc
archère	archer	nc
archères	archer	nc
archiduchesse	archiduc	nc
archiduchesses	archiduc	nc
ardennais	ardennais	nc
ardennaiss	ardennais	nc
argentine	argentin	nc
argentines	argentin	nc
arpenteuse	arpenteur	nc
arpenteuses	arpenteur	nc
arracheuse	arracheur	nc
arracheuses	arracheur	nc
arrivée	arrivé	nc
arrivées	arrivé	nc
arroseuse	arroseur	nc
arroseuses	arroseur	nc
asap	dès que possible	adv
assembleuse	assembleur	nc
assembleuses	assembleur	nc
assène	asséner	v
assènent	asséner	v
assènes	asséner	v
assises	assises	nc
assoie	asseoir	v
assoient	asseoir	v
assoies	asseoir	v
assoira	asseoir	v
assoirai	asseoir	v
assoiraient	asseoir	v
assoirais	asseoir	v
assoirait	asseoir	v
assoiras	asseoir	v
assoirez	asseoir	v
assoiriez	asseoir	v
assoirions	asseoir	v
assoiront	asseoir	v
assois	asseoir	v
assoit	asseoir	v
assoyaient	asseoir	v
assoyais	asseoir	v
assoyait	asseoir	v
assoyant	asseoir	v
assoyez	asseoir	v
assoyiez	asseoir	v
assoyions	asseoir	v
assoyons	asseoir	v
athlé	athlétisme	nc
atours	atours	nc
attrape-mouche	attrape-mouche	nc
attrape-nigaud	attrape-nigaud	nc
au-delà d'	au-delà de	prep
au-dessous d'	au-dessous de	prep
au-dessous d'__prep	au-dessous de	prep
au-dessous de__prep	au-dessous de	prep
au-dessus d'	au-dessus de	prep
au-dessus d'__prep	au-dessus de	prep
au-dessus de__prep	au-dessus de	prep
au-devant d'	au-devant de	prep
au-devant d'__prep	au-devant de	prep
au-devant de__prep	au-devant de	prep
au beau milieu d'	au beau milieu de	prep
au beau milieu d'__prep	au beau milieu de	prep
au beau milieu de__prep	au beau milieu de	prep
au bord d'	au bord de	prep
au bord d'__prep	au bord de	prep
au bord de__prep	au bord de	prep
au bout d'	au bout de	prep
au bout d'__prep	au bout de	prep
au bout de__prep	au bout de	prep
au centre d'	au centre de	prep
au centre d'__prep	au centre de	prep
au centre de__prep	au centre de	prep
au comble d'	au comble de	prep
au comble d'__prep	au comble de	prep
au comble de__prep	au comble de	prep
au côté d'	au côté de	prep
au côté d'__prep	au côté de	prep
au côté de__prep	au côté de	prep
au cours d'	au cours de	prep
au cours d'__prep	au cours de	prep
au cours de__prep	au cours de	prep
au dehors d'	au dehors de	prep
au dehors d'__prep	au dehors de	prep
au dehors de__prep	au dehors de	prep
au delà	au-delà	adv
au delà d'__prep	au delà de	prep
au delà de	au-delà de	prep
au delà de__prep	au delà de	prep
au dessous d'	au dessous de	prep
au dessous d'__prep	au dessous de	prep
au dessous de__prep	au dessous de	prep
au devant d'	au devant de	prep
au devant d'__prep	au devant de	prep
au devant de__prep	au devant de	prep
au fond d'	au fond de	prep
au fond d'__prep	au fond de	prep
au fond de__prep	au fond de	prep
au fur et à mesure d'	au fur et à mesure de	prep
au fur et à mesure d'__prep	au fur et à mesure de	prep
au fur et à mesure de__prep	au fur et à mesure de	prep
au grand dam d'	au grand dam de	prep
au grand dam d'__prep	au grand dam de	prep
au grand dam de__prep	au grand dam de	prep
au gré d'	au gré de	prep
au gré d'__prep	au gré de	prep
au gré de__prep	au gré de	prep
au large d'	au large de	prep
au large d'__prep	au large de	prep
au large de__prep	au large de	prep
au lieu d'	au lieu de	prep
au lieu d'__prep	au lieu de	prep
au lieu de__prep	au lieu de	prep
au long d'	au long de	prep
au long d'__prep	au long de	prep
au long de__prep	au long de	prep
au même titre qu'	au même titre que	coo
au milieu d'	au milieu de	prep
au milieu d'__prep	au milieu de	prep
au milieu de__prep	au milieu de	prep
au moment d'	au moment de	prep
au moment d'__prep	au moment de	prep
au moment de__prep	au moment de	prep
au moyen d'	au moyen de	prep
au moyen d'__prep	au moyen de	prep
au moyen de__prep	au moyen de	prep
au nom d'	au nom de	prep
au nom d'__prep	au nom de	prep
au nom de__prep	au nom de	prep
au point d'	au point de	prep
au point d'__prep	au point de	prep
au point de__prep	au point de	prep
au prorata d'	au prorata de	prep
au prorata d'__prep	au prorata de	prep
au prorata de__prep	au prorata de	prep
au ras d'	au ras de	prep
au ras d'__prep	au ras de	prep
au ras de__prep	au ras de	prep
au sein d'	au sein de	prep
au sein d'__prep	au sein de	prep
au sein de__prep	au sein de	prep
au sortir d'	au sortir de	prep
au sortir d'__prep	au sortir de	prep
au sortir de__prep	au sortir de	prep
au sujet d'	au sujet de	prep
au sujet d'__prep	au sujet de	prep
au sujet de__prep	au sujet de	prep
au terme d'	au terme de	prep
au terme d'__prep	au terme de	prep
au terme de__prep	au terme de	prep
au travers d'	au travers de	prep
au travers d'__prep	au travers de	prep
au travers de__prep	au travers de	prep
au tréfonds d'	au tréfonds de	prep
au tréfonds d'__prep	au tréfonds de	prep
au tréfonds de__prep	au tréfonds de	prep
au vu d'	au vu de	prep
au vu d'__prep	au vu de	prep
au vu de__prep	au vu de	prep
au vu et au su d'	au vu et au su de	prep
au vu et au su d'__prep	au vu et au su de	prep
au vu et au su de__prep	au vu et au su de	prep
auprès d'	auprès de	prep
auprès d'__prep	auprès de	prep
auprès de__prep	auprès de	prep
autour d'	autour de	prep
autour d'__prep	autour de	prep
autour de__prep	autour de	prep
aux bons soins d'	aux bons soins de	prep
aux bons soins d'__prep	aux bons soins de	prep
aux bons soins de__prep	aux bons soins de	prep
aux confins d'	aux confins de	prep
aux confins d'__prep	aux confins de	prep
aux confins de__prep	aux confins de	prep
aux dépens d'	aux dépens de	prep
aux dépens d'__prep	aux dépens de	prep
aux dépens de__prep	aux dépens de	prep
av.	avant	prep
avant d'	avant de	prep
avant d'__prep	avant de	prep
avant de__prep	avant de	prep
avant même d'	avant même de	prep
avant même d'__prep	avant même de	prep
avant même de__prep	avant même de	prep
avant que d'	avant que de	prep
avant que d'__prep	avant que de	prep
avant que de__prep	avant que de	prep
avt	avant	prep
babillarde	babillard	nc
babillardes	babillard	nc
baie	bayer	v
baient	bayer	v
baiera	bayer	v
baierai	bayer	v
baieraient	bayer	v
baierais	bayer	v
baierait	bayer	v
baieras	bayer	v
baierez	bayer	v
baieriez	bayer	v
baierions	bayer	v
baierons	bayer	v
baieront	bayer	v
baies	bayer	v
baigneuse	baigneur	nc
baigneuses	baigneur	nc
bailleresse	bailleur	nc
bailleuresses	bailleur	nc
balaie	balayer	v
balaient	balayer	v
balaiera	balayer	v
balaierai	balayer	v
balaieraient	balayer	v
balaierais	balayer	v
balaierait	balayer	v
balaieras	balayer	v
balaierez	balayer	v
balaieriez	balayer	v
balaierions	balayer	v
balaierons	balayer	v
balaieront	balayer	v
balaies	balayer	v
balayeuse	balayeur	nc
balayeuses	balayeur	nc
banals	banal	adj
banco	banco	nc
bande-dessinée	B.D.	nc
bande dessinée	B.D.	nc
